GEM unit/phase ID,GEM location ID,Plant name,owner,capacity_mw,capacity_factor,annual_generation_MWh,emission_actual,emission_threshold,is_mine_mouth,Status,Combustion technology
G100000114337,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114338,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114339,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114340,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],380.0,0.55,1830840.0,1757163.164354565,1850979.24,False,operating,unknown
G100000114332,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],380.0,0.55,1830840.0,1757163.164354565,1850979.24,False,operating,unknown
G100000115105,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000115106,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000115107,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000115108,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000115109,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000115110,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000115111,L100000104841,Delong Nickel Phase III power station,PT Gunbuster Nickel Industry [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100001031233,L100001026019,Delong Nickel Phase IV power station,PT Nadesico Nickel Industry,330.0,0.55,1589940.0000000002,1525957.484834227,1607429.34,False,operating,unknown
G100000102626,L100000102735,Embalut power station,PT Cahaya Fajar Kaltim [100%],60.0,0.55,289080.0,331587.855281826,374936.76,False,operating,subcritical
G100000115737,L100000104975,FAJAR power station,PT Fajar Surya Wisesa Tbk [100%],55.0,0.55,264990.00000000006,277446.81542440504,343692.0300000001,False,operating,unknown
G100000115073,L100000104834,Indah Kiat Serang power station,PT Indah Kiat Pulp & Paper Tbk,35.0,0.55,168630.0,205983.2417544826,218713.11,False,operating,unknown
G100000115074,L100000104834,Indah Kiat Serang power station,PT Indah Kiat Pulp & Paper Tbk,35.0,0.55,168630.0,205983.2417544826,218713.11,False,operating,unknown
G100000115075,L100000104834,Indah Kiat Serang power station,PT Indah Kiat Pulp & Paper Tbk,35.0,0.55,168630.0,205983.2417544826,218713.11,False,operating,unknown
G100000115076,L100000104834,Indah Kiat Serang power station,PT Indah Kiat Pulp & Paper Tbk,70.0,0.55,337260.0,411966.48350896506,437426.22,False,operating,unknown
G100000114215,L100000104584,Indo Bharat Rayon power station,PT Indo Bharat Rayon [100%],36.6,0.55,176338.80000000002,200013.9314832302,228711.4236,False,operating,unknown
G100000104852,L100000102815,Indramayu power station,PLN,330.0,0.55,1589940.0000000002,1683446.034507732,1607429.34,False,operating,subcritical
G100000104853,L100000102815,Indramayu power station,PLN,330.0,0.55,1589940.0000000002,1683446.034507732,1607429.34,False,operating,subcritical
G100000104854,L100000102815,Indramayu power station,PLN,330.0,0.55,1589940.0000000002,1683446.034507732,1607429.34,False,operating,subcritical
G100000104986,L100000102703,Jawa-7 power station,PT Shenhua Guohua Pembangkitan Jawa Bali [100%],991.0,0.55,4774638.000000001,4004691.945619992,4349695.218000001,False,operating,ultra-supercritical
G100000104987,L100000102703,Jawa-7 power station,PT Shenhua Guohua Pembangkitan Jawa Bali [100%],991.0,0.55,4774638.000000001,4004691.945619992,4349695.218000001,False,operating,ultra-supercritical
