GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh
G100000106389,L100000102831,Indonesia,https://www.gem.wiki/Lombok_FTP2_power_station,Lombok FTP2 power station,Unit 2,PLTU Sambelia,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,construction,2025.0,,,subcritical,unknown,,,,,Sambelia,,East Lombok,West Nusa Tenggara,South-eastern Asia,Asia,-8.422056,116.709629,exact,,,,,,,,,0,0.55,10442.4,96100,0.25506758098602,35,8.9273653345107,West Nusa Tenggara,,240900.00000000003,1.058811046019178
G100000106545,L100000102724,Indonesia,https://www.gem.wiki/Madura_PTBA_power_station,Madura PTBA power station,Unit 1,,,PT Bukit Asam Tbk [100%],E100001000746 [100%],PT Bukit Asam Tbk [100.0%],E100001000746 [100.0%],225.0,cancelled,,,,subcritical,unknown,,,,,Pulau Madura,,,East Java,South-eastern Asia,Asia,-7.077733,113.287085,approximate,,,,,,,,,0,0.55,10442.4,96100,1.14780411443709,35,40.17314400529816,Jawa Timur,Jawa-Madura-Bali,1084050.0000000002,1.0588110460191777
G100000106546,L100000102724,Indonesia,https://www.gem.wiki/Madura_PTBA_power_station,Madura PTBA power station,Unit 2,,,PT Bukit Asam Tbk [100%],E100001000746 [100%],PT Bukit Asam Tbk [100.0%],E100001000746 [100.0%],225.0,cancelled,,,,subcritical,unknown,,,,,Pulau Madura,,,East Java,South-eastern Asia,Asia,-7.077733,113.287085,approximate,,,,,,,,,0,0.55,10442.4,96100,1.14780411443709,35,40.17314400529816,Jawa Timur,Jawa-Madura-Bali,1084050.0000000002,1.0588110460191777
G100000113840,L100000104400,Indonesia,https://www.gem.wiki/Medan_Steel_Mill_power_station,Medan Steel Mill power station,Unit 1,,,PT Gahapi Nisco Steel [100%],E100000121013 [100%],Nanjing Iron and Steel Co Ltd; PT Gunung Gahapi,E100001000920; E100000121019,30.0,operating,2017.0,,,subcritical,unknown,,,,,,Medan,,North Sumatra,South-eastern Asia,Asia,3.667568,98.665386,exact,,,,iron & steel,power,,,,8,0.55,10442.4,96100,0.153040548591612,27,4.132094811973524,Sumatera Utara,Sumatra,144540.0,1.058811046019178
G100000113841,L100000104400,Indonesia,https://www.gem.wiki/Medan_Steel_Mill_power_station,Medan Steel Mill power station,Unit 2,,,PT Gahapi Nisco Steel [100%],E100000121013 [100%],Nanjing Iron and Steel Co Ltd; PT Gunung Gahapi,E100001000920; E100000121019,30.0,operating,2017.0,,,subcritical,unknown,,,,,,Medan,,North Sumatra,South-eastern Asia,Asia,3.667568,98.665386,exact,,,,iron & steel,power,,,,8,0.55,10442.4,96100,0.153040548591612,27,4.132094811973524,Sumatera Utara,Sumatra,144540.0,1.058811046019178
G100000106864,L100000102704,Indonesia,https://www.gem.wiki/Merak_power_station,Merak power station,Unit 1,,,PT Merak Energi Indonesia [100%],E100000121040 [100%],PT Merak Energi Indonesia [100.0%],E100000121040 [100.0%],60.0,operating,2014.0,,,subcritical,unknown,,,,,,Pulo Ampel,Serang,Banten,South-eastern Asia,Asia,-5.88403,106.06422,exact,,,,chemicals,,,,,11,0.55,11312.6,96100,0.331587855281826,24,7.958108526763824,Banten,Jawa-Madura-Bali,289080.0,1.1470452998541096
G100000106865,L100000102704,Indonesia,https://www.gem.wiki/Merak_power_station,Merak power station,Unit 2,,,PT Merak Energi Indonesia [100%],E100000121040 [100%],PT Merak Energi Indonesia [100.0%],E100000121040 [100.0%],60.0,operating,2014.0,,,subcritical,unknown,,,,,,Pulo Ampel,Serang,Banten,South-eastern Asia,Asia,-5.88403,106.06422,exact,,,,chemicals,,,,,11,0.55,11312.6,96100,0.331587855281826,24,7.958108526763824,Banten,Jawa-Madura-Bali,289080.0,1.1470452998541096
G100000106887,L100000102755,Indonesia,https://www.gem.wiki/Mesuji_power_station,Mesuji power station,Unit 1,神华印尼楠榜电厂,,China Shenhua Energy Co Ltd [100%],E100000000175 [100%],China Shenhua Energy Co Ltd [100.0%],E100000000175 [100.0%],350.0,cancelled,,,,unknown,unknown,,,,,Mesuji regency,,,Lampung,South-eastern Asia,Asia,-4.012776,105.462956,approximate,,,,,,,,,0,0.55,9465.5,96100,1.618439756642363,35,56.64539148248269,Lampung,Sumatra,1686300.0000000002,0.9597579058544522
G100000106888,L100000102755,Indonesia,https://www.gem.wiki/Mesuji_power_station,Mesuji power station,Unit 2,神华印尼楠榜电厂,,China Shenhua Energy Co Ltd [100%],E100000000175 [100%],China Shenhua Energy Co Ltd [100.0%],E100000000175 [100.0%],350.0,cancelled,,,,unknown,unknown,,,,,Mesuji regency,,,Lampung,South-eastern Asia,Asia,-4.012776,105.462956,approximate,,,,,,,,,0,0.55,9465.5,96100,1.618439756642363,35,56.64539148248269,Lampung,Sumatra,1686300.0000000002,0.9597579058544522
G100000107095,L100000102799,Indonesia,https://www.gem.wiki/Mulut_Tambang_power_station,Mulut Tambang power station,Unit 1,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],600.0,cancelled,2020.0,,,unknown,unknown,,,,,,Rawas Ilir,Musi Rawas,South Sumatra,South-eastern Asia,Asia,-2.618,103.127,approximate,,,,,,,,,0,0.55,8605.0,96100,2.5222437765855,35,88.27853218049252,Sumatera Selatan,Sumatra,2890800.0,0.8725071871404109
G100000107096,L100000102799,Indonesia,https://www.gem.wiki/Mulut_Tambang_power_station,Mulut Tambang power station,Unit 2,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],600.0,cancelled,2021.0,,,unknown,unknown,,,,,,Rawas Ilir,Musi Rawas,South Sumatra,South-eastern Asia,Asia,-2.618,103.127,approximate,,,,,,,,,0,0.55,8605.0,96100,2.5222437765855,35,88.27853218049252,Sumatera Selatan,Sumatra,2890800.0,0.8725071871404109
G100000107177,L100000102690,Indonesia,https://www.gem.wiki/Nagan_Raya_power_station,Nagan Raya power station,Unit 1,"印尼国电亚齐电站 (Unit 1, Unit 2), 大唐米拉务电站 (Unit 3, Unit 4), 大唐米拉务电站, 印尼国电亚齐电站",,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],110.0,operating,2013.0,,,subcritical,unknown,,,,bioenergy,,,Nagan Raya,Aceh,South-eastern Asia,Asia,4.1075504,96.1988906,exact,,,,,,,,,12,0.55,11312.6,96100,0.607911068016681,23,13.98195456438366,Aceh,Sumatra,529980.0000000001,1.1470452998541094
G100000107178,L100000102690,Indonesia,https://www.gem.wiki/Nagan_Raya_power_station,Nagan Raya power station,Unit 2,"印尼国电亚齐电站 (Unit 1, Unit 2), 大唐米拉务电站 (Unit 3, Unit 4), 大唐米拉务电站, 印尼国电亚齐电站",,Unnamed special purpose vehicle [100%],E100000121494 [100%],Unnamed special purpose vehicle [100.0%],E100000121494 [100.0%],110.0,operating,2014.0,,,subcritical,unknown,,,,bioenergy,,,Nagan Raya,Aceh,South-eastern Asia,Asia,4.1075504,96.1988906,exact,,,,,,,,,11,0.55,11312.6,96100,0.607911068016681,24,14.58986563240035,Aceh,Sumatra,529980.0000000001,1.1470452998541094
G100000107179,L100000102690,Indonesia,https://www.gem.wiki/Nagan_Raya_power_station,Nagan Raya power station,Unit 3,"印尼国电亚齐电站 (Unit 1, Unit 2), 大唐米拉务电站 (Unit 3, Unit 4), 大唐米拉务电站, 印尼国电亚齐电站",,PT Meulaboh Power Generation [100%],E100000121043 [100%],China Datang Overseas Investment Co Ltd [62.0%]; PT Pembangunan Perumahan (Persero) Tbk [33.7%]; small shareholder(s) [4.0%],E100001001085 [62.0%]; E100000121057 [33.7%]; E100001015587 [4.0%],225.0,operating,2023.0,,,subcritical,unknown,,,,,,,Nagan Raya,Aceh,South-eastern Asia,Asia,4.1156362,96.2024123,exact,,,,,,,,,2,0.55,10442.4,96100,1.14780411443709,33,37.87753577642398,Aceh,Sumatra,1084050.0000000002,1.0588110460191777
G100000107180,L100000102690,Indonesia,https://www.gem.wiki/Nagan_Raya_power_station,Nagan Raya power station,Unit 4,"印尼国电亚齐电站 (Unit 1, Unit 2), 大唐米拉务电站 (Unit 3, Unit 4), 大唐米拉务电站, 印尼国电亚齐电站",,PT Meulaboh Power Generation [100%],E100000121043 [100%],China Datang Overseas Investment Co Ltd [62.0%]; PT Pembangunan Perumahan (Persero) Tbk [33.7%]; small shareholder(s) [4.0%],E100001001085 [62.0%]; E100000121057 [33.7%]; E100001015587 [4.0%],225.0,operating,2023.0,,,subcritical,unknown,,,,,,,Nagan Raya,Aceh,South-eastern Asia,Asia,4.1156362,96.2024123,exact,,,,,,,,,2,0.55,10442.4,96100,1.14780411443709,33,37.87753577642398,Aceh,Sumatra,1084050.0000000002,1.0588110460191777
G100000107201,L100000102738,Indonesia,https://www.gem.wiki/NALCO_East_Kutai_power_station,NALCO East Kutai power station,Unit 1,,,PT Nalco Indonesia; MEC Coal Pte Ltd,E100000120792; E100001000446,Municipality of Ras al-Khaimah; Nalco Holding Co; Trimex International FZE,E100001000911; E100001000447; E100002010760,250.0,cancelled,,,,subcritical,subbituminous,,,,,,Muara Wahau,East Kutai,East Kalimantan,South-eastern Asia,Asia,1.254,116.682,approximate,,,,aluminum,,,,,0,0.55,10442.4,96100,1.2753379049301,35,44.6368266725535,Kalimantan Timur,Kalimantan,1204500.0,1.058811046019178
G100000107202,L100000102738,Indonesia,https://www.gem.wiki/NALCO_East_Kutai_power_station,NALCO East Kutai power station,Unit 2,,,PT Nalco Indonesia; MEC Coal Pte Ltd,E100000120792; E100001000446,Municipality of Ras al-Khaimah; Nalco Holding Co; Trimex International FZE,E100001000911; E100001000447; E100002010760,250.0,cancelled,,,,subcritical,subbituminous,,,,,,Muara Wahau,East Kutai,East Kalimantan,South-eastern Asia,Asia,1.254,116.682,approximate,,,,aluminum,,,,,0,0.55,10442.4,96100,1.2753379049301,35,44.6368266725535,Kalimantan Timur,Kalimantan,1204500.0,1.058811046019178
G100000107203,L100000102738,Indonesia,https://www.gem.wiki/NALCO_East_Kutai_power_station,NALCO East Kutai power station,Unit 3,,,PT Nalco Indonesia; MEC Coal Pte Ltd,E100000120792; E100001000446,Municipality of Ras al-Khaimah; Nalco Holding Co; Trimex International FZE,E100001000911; E100001000447; E100002010760,250.0,cancelled,,,,subcritical,subbituminous,,,,,,Muara Wahau,East Kutai,East Kalimantan,South-eastern Asia,Asia,1.254,116.682,approximate,,,,aluminum,,,,,0,0.55,10442.4,96100,1.2753379049301,35,44.6368266725535,Kalimantan Timur,Kalimantan,1204500.0,1.058811046019178
G100000107204,L100000102738,Indonesia,https://www.gem.wiki/NALCO_East_Kutai_power_station,NALCO East Kutai power station,Unit 4,,,PT Nalco Indonesia; MEC Coal Pte Ltd,E100000120792; E100001000446,Municipality of Ras al-Khaimah; Nalco Holding Co; Trimex International FZE,E100001000911; E100001000447; E100002010760,250.0,cancelled,,,,subcritical,subbituminous,,,,,,Muara Wahau,East Kutai,East Kalimantan,South-eastern Asia,Asia,1.254,116.682,approximate,,,,aluminum,,,,,0,0.55,10442.4,96100,1.2753379049301,35,44.6368266725535,Kalimantan Timur,Kalimantan,1204500.0,1.058811046019178
G100000107205,L100000102738,Indonesia,https://www.gem.wiki/NALCO_East_Kutai_power_station,NALCO East Kutai power station,Unit 5,,,PT Nalco Indonesia; MEC Coal Pte Ltd,E100000120792; E100001000446,Municipality of Ras al-Khaimah; Nalco Holding Co; Trimex International FZE,E100001000911; E100001000447; E100002010760,250.0,cancelled,,,,subcritical,subbituminous,,,,,,Muara Wahau,East Kutai,East Kalimantan,South-eastern Asia,Asia,1.254,116.682,approximate,,,,aluminum,,,,,0,0.55,10442.4,96100,1.2753379049301,35,44.6368266725535,Kalimantan Timur,Kalimantan,1204500.0,1.058811046019178
G100000114352,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase I Unit 1,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,30.0,operating,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.917142,104.65547,exact,,,,aluminum,power,,,,4,0.55,10442.4,96100,0.153040548591612,31,4.744257006339972,Kepulauan Riau,Sumatra,144540.0,1.058811046019178
G100000114488,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase I Unit 2,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,30.0,operating,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.917142,104.65547,exact,,,,aluminum,power,,,,4,0.55,10442.4,96100,0.153040548591612,31,4.744257006339972,Kepulauan Riau,Sumatra,144540.0,1.058811046019178
G100000114489,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase I Unit 3,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,30.0,operating,2022.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.917142,104.65547,exact,,,,aluminum,power,,,,3,0.55,10442.4,96100,0.153040548591612,32,4.897297554931584,Kepulauan Riau,Sumatra,144540.0,1.058811046019178
G100000114901,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase I Unit 4,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,30.0,operating,2022.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,3,0.55,10442.4,96100,0.153040548591612,32,4.897297554931584,Kepulauan Riau,Sumatra,144540.0,1.058811046019178
G100000114902,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase I Unit 5,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,30.0,operating,2023.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,2,0.55,10442.4,96100,0.153040548591612,33,5.050338103523196,Kepulauan Riau,Sumatra,144540.0,1.058811046019178
G100000114903,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase I Unit 6,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,30.0,operating,2023.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,2,0.55,10442.4,96100,0.153040548591612,33,5.050338103523196,Kepulauan Riau,Sumatra,144540.0,1.058811046019178
G100000114904,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase II Unit 1,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114905,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase II Unit 2,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114906,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase II Unit 3,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114907,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase II Unit 4,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114908,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase II Unit 5,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114909,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase II Unit 6,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114910,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase III Unit 1,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114911,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase III Unit 2,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114912,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase III Unit 3,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114913,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase III Unit 4,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114914,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 1,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114915,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 2,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114916,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 3,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114917,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 4,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114918,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 5,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114919,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 6,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
G100000114920,L100000104619,Indonesia,https://www.gem.wiki/Nanshan_Industrial_Park_power_station,Nanshan Industrial Park power station,Phase IV Unit 7,南山宾坦工业园自备电厂,,PT Bintan Alumina Indonesia,E100000120999,Hong Kong Prime Aluminium Investment Ltd; Nanshan Aluminium International Holdings Ltd; small shareholder(s),E100002015282; E100002015281; E100001015587,150.0,cancelled,2021.0,,,subcritical,unknown,,,,,,Galang Batang,Bintan,Riau Islands,South-eastern Asia,Asia,0.911643,104.6505404,exact,,,,aluminum,power,,,,0,0.55,10442.4,96100,0.76520274295806,35,26.7820960035321,Kepulauan Riau,Sumatra,722700.0,1.0588110460191782
