GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh
G100000100508,L100000102693,Indonesia,https://www.gem.wiki/Bangka_Baru_power_station,Bangka Baru power station,Unit 1,PLTU Ba-Bel,,PT PLN Wilayah Bangka Belitung [100%],E100000121049 [100%],PT PLN (Persero),E100000000537,30.0,operating,2014.0,,,subcritical,unknown,,,,bioenergy,Air Anyir,,,Bangka-Belitung,South-eastern Asia,Asia,-2.079245,106.149617,exact,,,,,,,,,11,0.55,11312.6,96100,0.165793927640913,24,3.979054263381912,Bangka-Belitung,,144540.0,1.1470452998541096
G100000100509,L100000102693,Indonesia,https://www.gem.wiki/Bangka_Baru_power_station,Bangka Baru power station,Unit 2,PLTU Ba-Bel,,PT PLN Wilayah Bangka Belitung [100%],E100000121049 [100%],PT PLN (Persero),E100000000537,30.0,operating,2014.0,,,subcritical,unknown,,,,bioenergy,Air Anyir,,,Bangka-Belitung,South-eastern Asia,Asia,-2.079245,106.149617,exact,,,,,,,,,11,0.55,11312.6,96100,0.165793927640913,24,3.979054263381912,Bangka-Belitung,,144540.0,1.1470452998541096
G100000112734,L100000102694,Indonesia,https://www.gem.wiki/Bangka-1_power_station,Bangka-1 power station,Unit 1,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],200.0,cancelled,2027.0,,,subcritical,unknown,,,,,,,,Bangka-Belitung,South-eastern Asia,Asia,-2.133333,106.116667,approximate,,,,,,,,,0,0.55,10442.4,96100,1.02027032394408,35,35.7094613380428,Bangka-Belitung,,963600.0000000001,1.058811046019178
G100000112735,L100000102694,Indonesia,https://www.gem.wiki/Bangka-1_power_station,Bangka-1 power station,Unit 2,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],200.0,cancelled,2027.0,,,subcritical,unknown,,,,,,,,Bangka-Belitung,South-eastern Asia,Asia,-2.133333,106.116667,approximate,,,,,,,,,0,0.55,10442.4,96100,1.02027032394408,35,35.7094613380428,Bangka-Belitung,,963600.0000000001,1.058811046019178
G100000114203,L100000104581,Indonesia,https://www.gem.wiki/Bangka-1A_power_station,Bangka-1A power station,Unit 1,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,cancelled,2022.0,,,unknown,unknown,,,,,Air Anyir,,,Bangka-Belitung,South-eastern Asia,Asia,-2.079245,106.149617,approximate,,,,,,,,,0,0.55,10326.0,96100,0.25222437765855,35,8.82785321804925,Bangka-Belitung,,240900.00000000003,1.0470086245684929
G100000114204,L100000104581,Indonesia,https://www.gem.wiki/Bangka-1A_power_station,Bangka-1A power station,Unit 2,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,cancelled,2023.0,,,unknown,unknown,,,,,Air Anyir,,,Bangka-Belitung,South-eastern Asia,Asia,-2.079245,106.149617,approximate,,,,,,,,,0,0.55,10326.0,96100,0.25222437765855,35,8.82785321804925,Bangka-Belitung,,240900.00000000003,1.0470086245684929
G100000100510,L100000102794,Indonesia,https://www.gem.wiki/Bangko_Tengah_power_station,Bangko Tengah power station,Unit 1,"华电玻雅电站, Sumsel-8 (SS-8), PLTU Tanjung Lalang",,PT Huadian Bukit Asam Power [100%],E100000120575 [100%],China Huadian Corp Ltd [55.0%]; PT Bukit Asam Tbk [45.0%],E100000000170 [55.0%]; E100001000746 [45.0%],660.0,operating,2023.0,,,supercritical,unknown,mine-mouth,,,,Tanjung Enim coal mine,,Muara Lenim / Lahat,South Sumatra,South-eastern Asia,Asia,-3.838679,103.804133,exact,,,,,,,,,2,0.55,8409.0,96100,2.71127283080049,33,89.47200341641617,Sumatera Selatan,Sumatra,3179880.0000000005,0.8526336939760273
G100000100511,L100000102794,Indonesia,https://www.gem.wiki/Bangko_Tengah_power_station,Bangko Tengah power station,Unit 2,"华电玻雅电站, Sumsel-8 (SS-8), PLTU Tanjung Lalang",,PT Huadian Bukit Asam Power [100%],E100000120575 [100%],China Huadian Corp Ltd [55.0%]; PT Bukit Asam Tbk [45.0%],E100000000170 [55.0%]; E100001000746 [45.0%],660.0,operating,2023.0,,,supercritical,unknown,mine-mouth,,,,Tanjung Enim coal mine,,Muara Lenim / Lahat,South Sumatra,South-eastern Asia,Asia,-3.838679,103.804133,exact,,,,,,,,,2,0.55,8409.0,96100,2.71127283080049,33,89.47200341641617,Sumatera Selatan,Sumatra,3179880.0000000005,0.8526336939760273
G100000100512,L100000102794,Indonesia,https://www.gem.wiki/Bangko_Tengah_power_station,Bangko Tengah power station,Unit 3,"华电玻雅电站, Sumsel-8 (SS-8), PLTU Tanjung Lalang",,PT Huadian Bukit Asam Power [100%],E100000120575 [100%],China Huadian Corp Ltd [55.0%]; PT Bukit Asam Tbk [45.0%],E100000000170 [55.0%]; E100001000746 [45.0%],660.0,cancelled,,,,unknown,unknown,mine-mouth,,,,Tanjung Enim coal mine,,Muara Lenim / Lahat,South Sumatra,South-eastern Asia,Asia,-3.734,103.759,approximate,,,,,,,,,0,0.55,8605.0,96100,2.77446815424405,35,97.10638539854176,Sumatera Selatan,Sumatra,3179880.0000000005,0.8725071871404108
G100000100513,L100000102794,Indonesia,https://www.gem.wiki/Bangko_Tengah_power_station,Bangko Tengah power station,Unit 4,"华电玻雅电站, Sumsel-8 (SS-8), PLTU Tanjung Lalang",,PT Huadian Bukit Asam Power [100%],E100000120575 [100%],China Huadian Corp Ltd [55.0%]; PT Bukit Asam Tbk [45.0%],E100000000170 [55.0%]; E100001000746 [45.0%],660.0,cancelled,,,,unknown,unknown,mine-mouth,,,,Tanjung Enim coal mine,,Muara Lenim / Lahat,South Sumatra,South-eastern Asia,Asia,-3.734,103.759,approximate,,,,,,,,,0,0.55,8605.0,96100,2.77446815424405,35,97.10638539854176,Sumatera Selatan,Sumatra,3179880.0000000005,0.8725071871404108
