GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh,cluster
G100000100519,L100000102795,Indonesia,https://www.gem.wiki/Banjarsari_power_station,Banjarsari power station,Unit 1,,,PT Bukit Pembangkit Innovative [100%],E100000121001 [100%],PT Bukit Asam Tbk [59.8%]; PT PLN (Persero) [37.2%]; unknown [3.0%],E100001000746 [59.8%]; E100000000537 [37.2%]; E100000132388 [3.0%],110.0,operating,2015.0,,,subcritical,subbituminous,,,,,,East Merapi (Merapi Timur),Lahat,South Sumatra,South-eastern Asia,Asia,-3.72507,103.69039,exact,,,,,,,,,10,0.55,11312.6,96100,0.607911068016681,25,15.19777670041703,Sumatera Selatan,Sumatra,529980.0000000001,1.1470452998541094,1
G100000100520,L100000102795,Indonesia,https://www.gem.wiki/Banjarsari_power_station,Banjarsari power station,Unit 2,,,PT Bukit Pembangkit Innovative [100%],E100000121001 [100%],PT Bukit Asam Tbk [59.8%]; PT PLN (Persero) [37.2%]; unknown [3.0%],E100001000746 [59.8%]; E100000000537 [37.2%]; E100000132388 [3.0%],110.0,operating,2015.0,,,subcritical,subbituminous,,,,,,East Merapi (Merapi Timur),Lahat,South Sumatra,South-eastern Asia,Asia,-3.72507,103.69039,exact,,,,,,,,,10,0.55,11312.6,96100,0.607911068016681,25,15.19777670041703,Sumatera Selatan,Sumatra,529980.0000000001,1.1470452998541094,1
G100000100530,L100000102696,Indonesia,https://www.gem.wiki/Banten_Labuan_power_station,Banten Labuan power station,Unit 1,拉布湾电站,,PT PLN Indonesia Power [100%],E100000003758 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],300.0,operating,2009.0,,,subcritical,unknown,,,,bioenergy,Labuan,Labuan,Pandeglang,Banten,South-eastern Asia,Asia,-6.392179,105.82778,exact,,,,,,,,,16,0.55,10442.4,96100,1.53040548591612,19,29.07770423240629,Banten,Jawa-Madura-Bali,1445400.0,1.0588110460191782,4
G100000100531,L100000102696,Indonesia,https://www.gem.wiki/Banten_Labuan_power_station,Banten Labuan power station,Unit 2,拉布湾电站,,PT PLN Indonesia Power [100%],E100000003758 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],300.0,operating,2010.0,,,subcritical,unknown,,,,bioenergy,Labuan,Labuan,Pandeglang,Banten,South-eastern Asia,Asia,-6.392179,105.82778,exact,,,,,,,,,15,0.55,10442.4,96100,1.53040548591612,20,30.60810971832241,Banten,Jawa-Madura-Bali,1445400.0,1.0588110460191782,4
G100000100532,L100000102697,Indonesia,https://www.gem.wiki/Banten_Lontar_power_station,Banten Lontar power station,Unit 1,龙湾电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],315.0,operating,2011.0,,,subcritical,unknown,,,,bioenergy,,Kemiri,Tangerang Regency,Banten,South-eastern Asia,Asia,-6.058874,106.4643,exact,,,,,,,,,14,0.55,10442.4,96100,1.606925760211926,21,33.74544096445045,Banten,Jawa-Madura-Bali,1517670.0,1.058811046019178,4
G100000100533,L100000102697,Indonesia,https://www.gem.wiki/Banten_Lontar_power_station,Banten Lontar power station,Unit 2,龙湾电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],315.0,operating,2012.0,,,subcritical,unknown,,,,bioenergy,,Kemiri,Tangerang Regency,Banten,South-eastern Asia,Asia,-6.058874,106.4643,exact,,,,,,,,,13,0.55,10442.4,96100,1.606925760211926,22,35.35236672466238,Banten,Jawa-Madura-Bali,1517670.0,1.058811046019178,4
G100000100534,L100000102697,Indonesia,https://www.gem.wiki/Banten_Lontar_power_station,Banten Lontar power station,Unit 3,龙湾电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],315.0,operating,2012.0,,,subcritical,unknown,,,,bioenergy,,Kemiri,Tangerang Regency,Banten,South-eastern Asia,Asia,-6.058874,106.4643,exact,,,,,,,,,13,0.55,10442.4,96100,1.606925760211926,22,35.35236672466238,Banten,Jawa-Madura-Bali,1517670.0,1.058811046019178,4
G100000100535,L100000102697,Indonesia,https://www.gem.wiki/Banten_Lontar_power_station,Banten Lontar power station,Unit 4,龙湾电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],315.0,operating,2024.0,,,ultra-supercritical,unknown,,,,,,Kemiri,Tangerang Regency,Banten,South-eastern Asia,Asia,-6.058874,106.4643,exact,,,,,,,,,1,0.55,9099.2,96100,1.400227809442308,34,47.60774552103847,Banten,Jawa-Madura-Bali,1517670.0,0.922616780619178,0
G100000100536,L100000102698,Indonesia,https://www.gem.wiki/Banten_Serang_power_station,Banten Serang power station,Unit 1,云顶集团万丹电站,,PT Lestari Banten Energi [100%],E100000121035 [100%],Genting Group Sdn Bhd,E100000120495,660.0,operating,2017.0,,,supercritical,unknown,,,,,Salira,Pulo Ampel,Serang,Banten,South-eastern Asia,Asia,-5.882972,106.045929,exact,,,,,,,,,8,0.55,8409.0,96100,2.71127283080049,27,73.20436643161322,Banten,Jawa-Madura-Bali,3179880.0000000005,0.8526336939760273,0
G100000100539,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase I Unit 1,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,400.0,operating,1984.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,41,0.55,11747.7,96100,2.29560822887418,5,11.4780411443709,Banten,Jawa-Madura-Bali,1927200.0,1.1911624267715752,3
